meal,content,serving_size,calories_per_portion
"ABALONE,MIXED SPECIES,RAW",protein,,105
"ABALONE,MXD SP,CKD,FRIED",protein,,189
"ABIYUCH,RAW",carbohydrt,,69
"ACEROLA JUICE,RAW",carbohydrt,1 fl oz,23
"ACEROLA,(WEST INDIAN CHERRY),RAW",carbohydrt,"1 fruit, without refuse",32
"ACORN FLOUR,FULL FAT",carbohydrt,,501
ACORN STEW (APACHE),carbohydrt,,95
"ACORNS,DRIED",carbohydrt,,509
"ACORNS,RAW",carbohydrt,,387
"AGAVE,CKD (SOUTHWEST)",carbohydrt,,135
"AGAVE,DRIED (SOUTHWEST)",carbohydrt,,341
"AGAVE,RAW (SOUTHWEST)",carbohydrt,,68
"AGUTUK,FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE",carbohydrt,,470
"AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",carbohydrt,,353
"AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",protein,,258
"ALCOHOLIC BEV,BEER,LT",carbohydrt,"1 can,  or bottle (12 fl oz)",29
"ALCOHOLIC BEV,BEER,LT,BUD LT",carbohydrt,12 fl oz,29
"ALCOHOLIC BEV,BEER,LT,BUDWEISER SEL",carbohydrt,12 fluid ounce,28
"ALCOHOLIC BEV,BEER,LT,MICHELOB ULTRA",carbohydrt,12 fl oz,27
"ALCOHOLIC BEV,BEER,REG,ALL",carbohydrt,1 can,43
"ALCOHOLIC BEV,BEER,REG,BUDWEISER",carbohydrt,12 fl oz,41
"ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",371
"ALCOHOLIC BEV,DAIQUIRI,CND",carbohydrt,"1 can,  (6.8 fl oz, 200 ml)",125
"ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE",carbohydrt,"1 cocktail,  (2 fl oz)",186
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",231
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",250
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",263
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",275
"ALCOHOLIC BEV,DISTILLED,ALL 100 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",295
"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",263
"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",231
"ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",231
"ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",250
"ALCOHOLIC BEV,LIQUEUR,COFFEE W/CRM,34 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",327
"ALCOHOLIC BEV,LIQUEUR,COFFEE,53 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",336
"ALCOHOLIC BEV,LIQUEUR,COFFEE,63 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",308
"ALCOHOLIC BEV,PINA COLADA,CND",carbohydrt,"1 can,  (6.8 fl oz, 200 ml)",237
"ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE",carbohydrt,"1 cocktail,  (4.5 fl oz)",174
