weather,calories_per_hour,exercise
outdoor,304,"Cycling, <10 mph, leisure bicycling"
outdoor,1217,"Cycling, >20 mph, racing"
outdoor,456,"Cycling, 10-11.9 mph, light"
outdoor,609,"Cycling, 12-13.9 mph, moderate"
outdoor,761,"Cycling, 14-15.9 mph, vigorous"
outdoor,913,"Cycling, 16-19 mph, very fast, racing"
outdoor,380,Unicycling
indoor,228,"Stationary cycling, very light"
indoor,418,"Stationary cycling, light"
indoor,532,"Stationary cycling, moderate"
indoor,799,"Stationary cycling, vigorous"
indoor,951,"Stationary cycling, very vigorous"
indoor,609,"Calisthenics, vigorous, pushups, situps?"
indoor,266,"Calisthenics, light"
indoor,609,"Circuit training, minimal rest"
indoor,456,"Weight lifting, body building, vigorous"
indoor,228,"Weight lifting, light workout"
indoor,418,Health club exercise
indoor,684,Stair machine
indoor,266,"Rowing machine, light"
indoor,532,"Rowing machine, moderate"
indoor,647,"Rowing machine, vigorous"
indoor,913,"Rowing machine, very vigorous"
indoor,532,Ski machine
indoor,380,"Aerobics, low impact"
indoor,532,"Aerobics, high impact"
indoor,647,"Aerobics, step aerobics"
indoor,494,"Aerobics, general"
indoor,456,Jazzercise
indoor,304,"Stretching, hatha yoga"
indoor,190,Mild stretching
indoor,456,Instructing aerobic class
indoor,304,Water aerobics
indoor,343,"Ballet, twist, jazz, tap"
indoor,228,"Ballroom dancing, slow"
indoor,418,"Ballroom dancing, fast"
outdoor,609,"Running, 5 mph (12 minute mile)"
outdoor,684,"Running, 5.2 mph (11.5 minute mile)"
outdoor,761,"Running, 6 mph (10 min mile)"
outdoor,837,"Running, 6.7 mph (9 min mile)"
outdoor,875,"Running, 7 mph (8.5 min mile)"
outdoor,951,"Running, 7.5mph (8 min mile)"
outdoor,1027,"Running, 8 mph (7.5 min mile)"
outdoor,1065,"Running, 8.6 mph (7 min mile)"
outdoor,1141,"Running, 9 mph (6.5 min mile)"
outdoor,1217,"Running, 10 mph (6 min mile)"
outdoor,1369,"Running, 10.9 mph (5.5 min mile)"
outdoor,684,"Running, cross country"
outdoor,609,"Running, general"
outdoor,761,"Running, on a track, team practice"
outdoor,1141,"Running, stairs, up"
outdoor,304,"Track and field (shot, discus)"
outdoor,456,"Track and field (high jump, pole vault)"
outdoor,761,Track and field (hurdles)
outdoor,266,Archery
both,343,Badminton
both,609,"Basketball game, competitive"
both,456,"Playing basketball, non game"
both,532,"Basketball, officiating"
both,343,"Basketball, shooting baskets"
both,494,"Basketball, wheelchair"
both,609,"Running, training, pushing wheelchair"
indoor,190,Billiards
indoor,228,Bowling
indoor,913,"Boxing, in ring"
indoor,456,"Boxing, punching bag"
indoor,684,"Boxing, sparring"
outdoor,304,"Coaching: football, basketball, soccer?"
outdoor,380,"Cricket (batting, bowling)"
outdoor,190,Croquet
outdoor,304,Curling
outdoor,190,Darts (wall or lawn)
outdoor,456,Fencing
outdoor,684,"Football, competitive"
outdoor,609,"Football, touch, flag, general"
outdoor,190,"Football or baseball, playing catch"
outdoor,228,"Frisbee playing, general"
outdoor,609,"Frisbee, ultimate frisbee"
outdoor,343,"Golf, general"
outdoor,343,"Golf, walking and carrying clubs"
outdoor,228,"Golf, driving range"
outdoor,228,"Golf, miniature golf"
outdoor,327,"Golf, walking and pulling clubs"
outdoor,266,"Golf, using power cart"
indoor,304,Gymnastics
outdoor,304,Hacky sack
outdoor,913,Handball
outdoor,609,"Handball, team"
outdoor,609,"Hockey, field hockey"
outdoor,609,"Hockey, ice hockey"
outdoor,304,"Riding a horse, general"
outdoor,266,"Horesback riding, saddling horse"
outdoor,266,"Horseback riding, grooming horse"
outdoor,494,"Horseback riding, trotting"
outdoor,190,"Horseback riding, walking"
outdoor,609,"Horse racing, galloping"
outdoor,456,"Horse grooming, moderate"
outdoor,228,Horseshoe pitching
indoor,913,Jai alai
indoor,761,"Martial arts, judo, karate, jujitsu"
indoor,761,"Martial arts, kick boxing"
indoor,761,"Martial arts, tae kwan do"
indoor,761,Krav maga training
outdoor,304,Juggling
outdoor,532,Kickball
outdoor,609,Lacrosse
outdoor,684,Orienteering
outdoor,456,Playing paddleball
outdoor,761,"Paddleball, competitive"
outdoor,609,Polo
outdoor,761,"Racquetball, competitive"
outdoor,532,Playing racquetball
both,837,"Rock climbing, ascending rock"
both,609,"Rock climbing, rappelling"
indoor,913,"Jumping rope, fast"
indoor,761,"Jumping rope, moderate"
indoor,609,"Jumping rope, slow"
outdoor,761,Rugby
outdoor,228,"Shuffleboard, lawn bowling"
outdoor,380,Skateboarding
outdoor,532,Roller skating
outdoor,913,"Roller blading, in-line skating"
outdoor,228,Sky diving
outdoor,761,"Soccer, competitive"
outdoor,532,Playing soccer
outdoor,380,Softball or baseball
outdoor,304,"Softball, officiating"
outdoor,456,"Softball, pitching"
outdoor,913,Squash
both,304,"Table tennis, ping pong"
both,304,Tai chi
both,532,Playing tennis
both,456,"Tennis, doubles"
both,609,"Tennis, singles"
both,266,Trampoline
both,609,"Volleyball, competitive"
both,228,Playing volleyball
both,609,"Volleyball, beach"
both,456,Wrestling
both,532,Wallyball
outdoor,532,"Backpacking, Hiking with pack"
outdoor,266,"Carrying infant, level ground"
outdoor,380,"Carrying infant, upstairs"
outdoor,456,"Carrying 16 to 24 lbs, upstairs"
outdoor,609,"Carrying 25 to 49 lbs, upstairs"
outdoor,213,"Standing, playing with children, light"
outdoor,304,"Walk/run, playing with children, moderate"
outdoor,380,"Walk/run, playing with children, vigorous"
outdoor,228,Carrying small children
both,228,"Loading, unloading car"
outdoor,532,"Climbing hills, carrying up to 9 lbs"
outdoor,571,"Climbing hills, carrying 10 to 20 lb"
outdoor,609,"Climbing hills, carrying 21 to 42 lb"
outdoor,684,"Climbing hills, carrying over 42 lb"
indoor,228,Walking downstairs
outdoor,456,"Hiking, cross country"
outdoor,190,Bird watching
outdoor,494,"Marching, rapidly, military"
outdoor,380,"Children's games, hopscotch, dodgeball"
outdoor,190,Pushing stroller or walking with children
outdoor,304,Pushing a wheelchair
outdoor,494,Race walking
outdoor,609,"Rock climbing, mountain climbing"
outdoor,380,Walking using crutches
outdoor,228,Walking the dog
outdoor,152,"Walking, under 2.0 mph, very slow"
outdoor,190,"Walking 2.0 mph, slow"
outdoor,228,Walking 2.5 mph
outdoor,251,"Walking 3.0 mph, moderate"
outdoor,289,"Walking 3.5 mph, brisk pace"
outdoor,456,"Walking 3.5 mph, uphill"
outdoor,380,"Walking 4.0 mph, very brisk"
outdoor,479,Walking 4.5 mph
outdoor,609,Walking 5.0 mph
outdoor,190,"Boating, power, speed boat"
outdoor,304,"Canoeing, camping trip"
outdoor,228,"Canoeing, rowing, light"
outdoor,532,"Canoeing, rowing, moderate"
outdoor,913,"Canoeing, rowing, vigorous"
outdoor,913,"Crew, sculling, rowing, competition"
outdoor,380,Kayaking
outdoor,304,Paddle boat
